baseDate,sido,firstCnt,secondCnt,totalFirstCnt,totalSecondCnt,accumulatedFirstCnt,accumulatedSecondCnt,id,thirdCnt,totalThirdCnt,accumulatedThirdCnt
2022-11-07 00:00:00,경상북도,0.0,0.0,2293246,2269619.0,2293246,2269619.0,10138,0.0,1727144.0,1727144.0
2022-11-07 00:00:00,전라남도,0.0,0.0,1655598,1641318.0,1655598,1641318.0,10137,0.0,1365173.0,1365173.0
2022-11-07 00:00:00,전라북도,0.0,0.0,1593934,1581069.0,1593934,1581069.0,10136,0.0,1285706.0,1285706.0
2022-11-07 00:00:00,충청남도,0.0,0.0,1901909,1884491.0,1901909,1884491.0,10135,0.0,1479621.0,1479621.0
2022-11-07 00:00:00,충청북도,0.0,0.0,1430861,1418426.0,1430861,1418426.0,10134,0.0,1108469.0,1108469.0
2022-11-07 00:00:00,강원도,0.0,0.0,1352068,1340852.0,1352068,1340852.0,10133,1.0,1065102.0,1065101.0
2022-11-04 00:00:00,대전광역시,4.0,2.0,1245452,1233373.0,1245448,1233371.0,10111,57.0,908962.0,908905.0
2022-11-04 00:00:00,대구광역시,14.0,9.0,2018606,1995785.0,2018592,1995776.0,10110,76.0,1404942.0,1404866.0
2022-11-04 00:00:00,광주광역시,3.0,5.0,1261990,1250570.0,1261987,1250565.0,10109,46.0,968846.0,968800.0
2022-11-04 00:00:00,인천광역시,10.0,7.0,2573867,2549720.0,2573857,2549713.0,10108,134.0,1914526.0,1914392.0
2022-11-04 00:00:00,부산광역시,12.0,19.0,2879877,2851331.0,2879865,2851312.0,10107,149.0,2140234.0,2140085.0
2022-11-04 00:00:00,서울특별시,36.0,49.0,8335752,8258153.0,8335716,8258104.0,10106,597.0,6074783.0,6074186.0
2022-11-04 00:00:00,전국,193.0,242.0,45121967,44691950.0,45121774,44691708.0,10105,2145.0,33663716.0,33661571.0
2022-11-04 00:00:00,강원도,6.0,6.0,1351973,1340760.0,1351967,1340754.0,10114,49.0,1064949.0,1064900.0
2022-11-04 00:00:00,울산광역시,2.0,5.0,968219,958978.0,968217,958973.0,10112,56.0,720451.0,720395.0
2022-11-04 00:00:00,경기도,42.0,63.0,11836533,11722599.0,11836491,11722536.0,10113,612.0,8705121.0,8704509.0
2022-11-04 00:00:00,전라남도,16.0,11.0,1655530,1641248.0,1655514,1641237.0,10119,34.0,1365065.0,1365031.0
2022-11-04 00:00:00,세종특별자치시,1.0,0.0,300486,296782.0,300485,296782.0,10115,9.0,211004.0,210995.0
2022-11-04 00:00:00,충청북도,5.0,11.0,1430764,1418329.0,1430759,1418318.0,10116,49.0,1108322.0,1108273.0
2022-11-04 00:00:00,충청남도,9.0,15.0,1901783,1884361.0,1901774,1884346.0,10117,50.0,1479402.0,1479352.0
2022-11-04 00:00:00,전라북도,4.0,10.0,1593922,1581071.0,1593918,1581061.0,10118,31.0,1285654.0,1285623.0
2022-11-04 00:00:00,경상북도,12.0,16.0,2293313,2269676.0,2293301,2269660.0,10120,63.0,1727051.0,1726988.0
2022-11-04 00:00:00,경상남도,15.0,10.0,2882895,2853833.0,2882880,2853823.0,10121,106.0,2145412.0,2145306.0
2022-11-04 00:00:00,제주특별자치도,2.0,4.0,591005,585381.0,591003,585377.0,10122,27.0,438992.0,438965.0
2022-11-03 00:00:00,대전광역시,2.0,6.0,1245477,1233397.0,1245475,1233391.0,10093,45.0,908919.0,908874.0
2022-11-03 00:00:00,울산광역시,3.0,1.0,968244,959000.0,968241,958999.0,10094,34.0,720416.0,720382.0
2022-11-03 00:00:00,광주광역시,1.0,6.0,1261983,1250561.0,1261982,1250555.0,10092,24.0,968810.0,968786.0
